id,title,phaseId,dateCreated,technique,dimensions,colorPalette,emotionalRegister,imageUrl,imageKey,thumbnailUrl,journalExcerpt,neonReading,seriesName,isPublished,sortOrder,createdAt,updatedAt,featured,slug,medium,year,curatorialHook,conceptTags
30001,Big Bang: Breath Aureole,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Subtle cyan undertones",gentle,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB1.jpg,works/bigbang/BB1.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB1.jpg,"Feathering, halos, and negative space—saved territory where ink approached but did not consume. Documented throughout series, especially in works emphasizing respiratory quality.","The most delicate specimen in the Big Bang field. Graduated density aureoles and feathering produce a respiratory architecture visible at near-molecular scale: ink approached the white territory but stopped short, leaving halos of negative space that function as the work's lung system. A rare cyan undertone breaks the monochrome field like an alchemical trace, color as spirit leaking through the carbon lattice. This is the Breath register isolated and amplified. The painting exhales.",Big Bang,1,2,Sat Dec 27 2025 05:54:11 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:08 GMT-0500 (Eastern Standard Time),1,big-bang-breath-aureole-30001,Sumi ink on Chinese mulberry paper,2025,A respiratory calibration of the genesis field where feathering and negative space function as the series’ most delicate evidence of alchemical shift.,"Ink,Paper"
30002,Big Bang: Diagonal Thrust,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray",brutal,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB2.jpg,works/bigbang/BB2.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB2.jpg,"The biomechanics are whole-body: shoulder-torso-leg coordination, velocity that requires the full structure, not just wrist. The body becomes the primary instrument.","High-velocity traversal requiring full biomechanical deployment: shoulder-torso-leg coordination at speeds that bypass wrist control entirely. Energy enters one edge and exits another, the edge-bleed confirming the image is an excerpt from a larger force-field, not a self-contained world. Gravity is visible here as compositional co-author, pulling the diagonal toward the lower corner while velocity fights to maintain trajectory. The body that made this was not painting. It was falling forward.",Big Bang,1,3,Sat Dec 27 2025 05:54:13 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:08 GMT-0500 (Eastern Standard Time),1,big-bang-diagonal-thrust-30002,Sumi ink on Chinese mulberry paper,2025,"Gravity acts as a compositional co-author in this high-velocity traversal, where edge-bleed asserts the logic of an infinite force-field rather than a self-contained world.","Ink,Paper"
30003,Big Bang: Vertical Descent,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray",brutal,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB3.jpg,works/bigbang/BB3.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB3.jpg,"At 100cm x 200cm, these works demand full-body engagement. The paper laid flat on floor or table means the artist moves not as a stationary painter but as a dancer or ritual performer.","Vertical format activates gravity as primary compositional agent. Where Diagonal Thrust records lateral force, this work documents descent: ink falling, pooling, accumulating at the base in sedimentary strata. The body choreography shifts when the paper is oriented vertically; marks trace falling motion rather than sweep. A test specimen for orientation-effect on viscosity behavior. The paper becomes a basin. The ink becomes weather.",Big Bang,1,4,Sat Dec 27 2025 05:54:16 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:09 GMT-0500 (Eastern Standard Time),0,big-bang-vertical-descent-30003,Sumi ink on Chinese mulberry paper,2025,"A somatic shift in choreography where the marks trace a falling motion, testing the effects of orientation on ink viscosity and the ritual performer’s movement.","Ink,Paper"
30004,Big Bang: Smoke Field,30009,2025-05,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Atmospheric smoke",meditative,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB4.jpg,works/bigbang/BB4.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB4.jpg,"The Breath—feathering, halos, and negative space representing saved territory where ink approached but did not consume. Essential to preventing the image from collapsing into pure darkness.","Atmospheric-dispersed typology. Cloud-masses and breath-space dominate the field, the Breath register fully activated: graduated density aureoles reading as the work's respiratory system made visible. The quietest specimen in the series, holding tension between presence and dissolution. The ink has not struck the paper so much as settled onto it, the way fog settles into a valley. Gravity is present but unhurried. Time is slow here.",Big Bang,1,8,Sat Dec 27 2025 05:54:21 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:09 GMT-0500 (Eastern Standard Time),0,big-bang-smoke-field-30004,Sumi ink on Chinese mulberry paper,2025,"The series’ most quiet tension between presence and dissolution, where graduated density aureoles activate a fully realized respiratory architecture.","Ink,Paper"
30005,Big Bang: Diagonal Thrust II,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray",brutal,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB5.jpg,works/bigbang/BB5.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB5.jpg,"The series abandons the centralized, mandala-like compositions characterizing Phases 1–3, adopting instead Field logic where energy traverses the picture plane rather than organizing around focal point.","Second expression of the high-velocity diagonal protocol. Where its predecessor emphasized the sweep, this iteration records what happens at the contact zones: ink pooling and accumulating where force meets resistance. The Bone and Flesh registers collaborate, dense blacks providing structural skeleton while mid-tone washes generate turbulence fields. Edge-to-edge movement without center. The series has abandoned the mandala. There is no focal point. There is only transit.",Big Bang,1,5,Sat Dec 27 2025 05:54:26 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:10 GMT-0500 (Eastern Standard Time),0,big-bang-diagonal-thrust-ii-30005,Sumi ink on Chinese mulberry paper,2025,"An abandonment of centralized, mandala-like focus in favor of field logic, where dense blacks and mid-tone washes collaborate to document ink pooling at contact zones.","Ink,Paper"
30006,Big Bang: Geological Core,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Turbulent mid-tones",brutal,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB6.jpg,works/bigbang/BB6.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB6.jpg,"The ink demonstrates distinctive viscosity regime. Register 2: The Flesh—mid-tone washes and granulation, produced through geological or biological micro-textures, result of ink sediment settling into paper fiber topography.","Dense-geological at center with atmospheric halo at periphery. The Flesh register dominates: mid-tone washes producing geological micro-textures as ink sediment settles into the paper fiber topography. This is compression made visible, viscosity creating internal complexity and depth not through the artist's gesture but through gravity's patient collaboration with material. What you see is not what was painted. It is what accumulated.",Big Bang,1,6,Sat Dec 27 2025 05:54:30 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:10 GMT-0500 (Eastern Standard Time),0,big-bang-geological-core-30006,Sumi ink on Chinese mulberry paper,2025,"The Flesh register dominates through a distinctive viscosity regime, where ink sediment settles into the paper fiber topography to create a geological micro-texture.","Ink,Paper"
30007,Big Bang: Breath & Bone,30009,2025-04,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray",meditative,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB7.jpg,works/bigbang/BB7.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB7.jpg,"Register 1: The Bone—highest density blacks, sits on paper fiber rather than soaking through, creates foreground depth with almost three-dimensional presence, functions as structural skeleton.","Hybrid-transitional specimen demonstrating the full duality of the viscosity system. The Bone provides structural skeleton at center: highest-density blacks sitting on top of the paper fiber with near three-dimensional presence. The Breath creates halos and feathering at the edges, saving territory where ink approached but did not consume. The container is no longer drawn. It is enacted through ink's inherent behavior encountering paper's inherent resistance. Physics decided where the boundary would fall.",Big Bang,1,7,Sat Dec 27 2025 05:54:34 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:10 GMT-0500 (Eastern Standard Time),0,big-bang-breath-bone-30007,Sumi ink on Chinese mulberry paper,2025,"A hybrid-transitional work demonstrating the duality of the viscosity system, where the container is no longer drawn but enacted through the ink’s inherent behavior.","Ink,Paper"
30008,Big Bang: Geological Core II,30009,2025-05,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Dense turbulent center",brutal,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB8.jpg,works/bigbang/BB8.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB8.jpg,"The ink pools, settles, responds to earth pull. Paper becomes a basin catching what falls. This is not possible with vertical easel work.","Maximum compression at center with explosive periphery. Where Geological Core documented formation, this work documents pressure: strata compressed into near-singularity, the Flesh register generating turbulence, density, and internal heat. Ink as tectonic force. The pools settled, responded to earth-pull, and the paper became a basin catching what falls. This is not possible with vertical easel work. The floor is the collaborator.",Big Bang,1,9,Sat Dec 27 2025 05:54:38 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:11 GMT-0500 (Eastern Standard Time),0,big-bang-geological-core-ii-30008,Sumi ink on Chinese mulberry paper,2025,"Maximum compression at the center transforms the paper into a basin, catching the fallout of ink as a tectonic force responding to the earth’s pull.","Ink,Paper"
30009,Big Bang: Cloud Mass,30009,2025-05,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Gray, Atmospheric wash",meditative,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB9.jpg,works/bigbang/BB9.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB9.jpg,These works function as temples dedicated to the act of creation rather than documents of it. Temple is not photograph of worship but site where worship occurred and can occur again.,"Atmospheric-dispersed, cousin to Smoke Field. Cloud-masses dominate, the work hovering in the unstable zone between representation (it looks like clouds) and abstraction (it is ink behavior). Field logic at its most elemental: pure atmosphere, pure breath, minimal structure. These works function as temples dedicated to the act of creation rather than documents of it. Temple is not photograph of worship but site where worship occurred and can occur again.",Big Bang,1,10,Sat Dec 27 2025 05:54:42 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:11 GMT-0500 (Eastern Standard Time),0,big-bang-cloud-mass-30009,Sumi ink on Chinese mulberry paper,2025,"Pure atmospheric breath that hovers between representational weather systems and elemental field logic, marking the series’ most minimal structural state.","Ink,Paper"
30010,Big Bang: Shadow Self,30009,2025-05,Sumi ink on Chinese mulberry paper,100cm x 200cm,"Black, Warm ochre undertones",mysterious,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB10.jpg,works/bigbang/BB10.jpg,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/bigbang/BB10.jpg,"Most bounded, creature-like form in series. If Shadow were to have shape, it might look like this—entity floating against void, both part of self and separate from it.","The outlier. Bounded-figural rather than field-based, this work reads as organism against void: a confrontation with the Shadow Self in Jungian terms. Warm ochre undertones, absent from the cooler atmospheric grays of the other specimens, mark this as the series' reckoning with darkness not as absence but as presence. The only work that registers as figure rather than force. Something is in there. It is looking back.",Big Bang,1,11,Sat Dec 27 2025 05:54:46 GMT-0500 (Eastern Standard Time),Thu Feb 12 2026 15:47:12 GMT-0500 (Eastern Standard Time),0,big-bang-shadow-self-30010,Sumi ink on Chinese mulberry paper,2025,"A bounded-figural outlier that confronts the Jungian shadow, utilizing warm ochre undertones to mark darkness as a presence rather than an absence.","Ink,Paper"
