id,title,dateCreated,dimensions,technique,colorPalette,emotionalRegister,seriesName,phaseCode,phaseName,phaseYear,imageUrl,thumbnailUrl,isFeatured,sortOrder,journalExcerpt,neonReading
120048,Geometric Abstraction No. 11,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",near-completion,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825348941-peteryuill_geometricabstraction_11.jpg,,0,21,The series approaches its end. The vocabulary is complete.,The completion. The geometric vocabulary established here will carry forward through all subsequent phases.
120047,Geometric Abstraction No. 10,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",approaching transcendence,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825343129-peteryuill_geometricabstraction_10_1_.jpg,,0,20,The forms begin to suggest something beyond themselves.,"The suggestion. At this density, the geometry begins to suggest something beyond pure form—a portal, a frequency, a state of mind."
120046,Geometric Abstraction No. 9,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",high-frequency moiré,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825336740-peteryuill_geometricabstraction_9_1_.jpg,,0,19,"Dense concentric torus. The line density is extremely high, creating intense optical vibration.",The hum. The density of lines reaches a critical mass where individual strokes disappear and become a field of frequency. This is visual resonance—geometry aspiring to the condition of sound.
120049,Geometric Abstraction No. 12,2018,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",vertical totem,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825352133-peteryuill_geometricabstraction_12.jpg,,0,22,Vertical arrangement of torus forms. A totem of pure geometry.,"The totem. Verticality suggests a hierarchy or a spine. Even without the ""absurdist"" bars, the structure feels precarious, balanced on a razor's edge of precision."
120051,Mathematical Meditation No. 1,2018,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",contemplative violence,Mathematical Meditation,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825355355-peteryuill_mathematicalmeditation1_1_.jpg,,0,23,The first of the meditations. Mathematics as a form of prayer.,"The prayer. The title is deliberately paradoxical—mathematics as meditation, logic as devotion. The work attempts to reconcile the rational and the spiritual."
120053,Mathematical Meditation No. 2,2018,76 x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",violent redaction,Mathematical Meditation,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825364852-peteryuill_mathematicalmeditation2_1_.jpg,,0,24,A torus slashed by multiple aggressive black bars—diagonal and vertical. The violence is palpable.,The violent redaction. This is the most aggressive work of the set. The black bars do not just interrupt; they attack. It is a visualization of the frustration of the seeker—the answer is not just missing; it is actively withheld.
120055,There Lay an Invincible Summer,2018,120cm x 120cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",defiant hope,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825370507-peteryuill_there_lay_an_invincible_summer.jpg,,0,25,"From Camus: ""In the midst of winter, I found there was, within me, an invincible summer."" The title is a declaration of survival.","The declaration. This work marks the moment when the artist moves from questioning to affirming. The Absurd remains, but so does the will to create despite it."
120056,I Wonder If I Really Exist,2018,120cm x 160cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",existential doubt,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825393028-peteryuill_iwonderifireallyexist_1_.jpg,,0,26,"The fundamental question. Not ""what is the meaning of life?"" but ""am I even here to ask?""","The fundamental doubt. This work strips the existential question to its most basic form. Before meaning, before purpose—existence itself is uncertain."
120057,Theatre of Memory,2018,120cm x 120cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",mnemonic architecture,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825397041-peteryuill_theatre_of_memory.jpg,,0,27,Reference to Giulio Camillo's memory palace. The geometry as a container for thought.,The architecture of thought. This work references the Renaissance tradition of memory palaces—architectural structures designed to hold and organize knowledge. The torus becomes a container for consciousness.
120045,Geometric Abstraction No. 8,2018,56cm x 76cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,"Black, White",deepening density,Absurdity of Meaning,PH1,Absurdity of Meaning,2018,https://d2xsxph8kpxj0f.cloudfront.net/310519663243139088/ZLCef8c8rdYgPCof2teogL/works/ph1/1766825330777-peteryuill_geometricabstraction_8_1_.jpg,,0,18,The line density increases. The moiré effect intensifies.,"The intensification. As line density increases, the moiré effect becomes more pronounced. The static image begins to breathe."
