id,title,phase,dimensions,technique,dateCreated,issues
30001,Big Bang: Breath Aureole,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30002,Big Bang: Diagonal Thrust,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30003,Big Bang: Vertical Descent,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30004,Big Bang: Smoke Field,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-05,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30005,Big Bang: Diagonal Thrust II,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30006,Big Bang: Geological Core,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30007,Big Bang: Breath & Bone,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-04,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30008,Big Bang: Geological Core II,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-05,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30009,Big Bang: Cloud Mass,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-05,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30010,Big Bang: Shadow Self,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-05,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30011,THR3E (Standing Bruise),NE,100cm x 100cm,Sumi ink on Anhui rice paper,2025-08,"NON_STANDARD_DIMENSIONS: ""100cm x 100cm"""
30012,Covenant I: Storm-Body,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-09,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30013,Covenant II: Vessel-Body,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-09,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30014,Covenant III: Threshold-Body,NE,100cm x 200cm,Sumi ink on Anhui rice paper,2025-09,"NON_STANDARD_DIMENSIONS: ""100cm x 200cm"""
30016,Ode to Isis,PH2A,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020-08,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
30017,Ode to Hadit,PH2A,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020-08,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30018,Ode to Hoor-pa-kraat,PH2A,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2020-08,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30024,Dreamcatcher,PH2,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
30025,Aurorae Aureae,PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30026,Inside the Vortex,PH2,76×76cm square,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""76×76cm square"""
30027,Freyja,PH2,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
30028,Freyr,PH2,76cm x 56cm,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""76cm x 56cm"""
30029,"As Above, So Below I",PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30030,Polaris,PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
30031,Golden Dawn,PH2,56×76cm vertical,Ink and metallic paint on Saunders Waterford 300gsm hot press cotton rag paper,2019-2020,"NON_STANDARD_DIMENSIONS: ""56×76cm vertical"""
