id,title,phase,field,value,reason
60001,Echoes,PH3,technique,Acrylic paint on linen,PH3 exception - likely acrylic on linen
150001,Constructivist Composition with Burnt Orange Bar,PH1A,technique,Ink and acrylic on canvas,PH1A - may be site-specific installation
150002,Torus No. 1 (Soho House Commission),PH1A,technique,"Ink, gold leaf, and copper leaf on mounted paper",PH1A - may be site-specific installation
150003,"Torus No. 2 (Soho House Commission, Copper Grounding)",PH1A,technique,Ink and copper leaf on mounted paper,PH1A - may be site-specific installation
150004,Torus No. 3 (Yin-Yang Composition with Gold Plane),PH1A,technique,Ink and gold leaf on paper,PH1A - may be site-specific installation
150005,Torus No. 4 (Dual-Torus Chain with Gold Accent),PH1A,technique,Ink and gold leaf on paper,PH1A - may be site-specific installation
150006,Peninsula Hotels Installation View 1,PH1A,technique,"Ink, gold, and copper on mounted paper (large-scale)",PH1A - may be site-specific installation
150007,Peninsula Hotels Installation View 2,PH1A,technique,"Ink, gold, and copper on mounted paper (large-scale)",PH1A - may be site-specific installation
150008,Peninsula Hotels Installation View 3,PH1A,technique,"Ink, gold, and copper on mounted paper (large-scale)",PH1A - may be site-specific installation
150009,Peninsula Hotels Installation View 4,PH1A,technique,"Ink, gold, and copper on mounted paper (large-scale)",PH1A - may be site-specific installation
150010,Peninsula Hotels Installation View 5,PH1A,technique,"Ink, gold, and copper on mounted paper (large-scale)",PH1A - may be site-specific installation
150011,Kith & Kin Mural Installation 1,PH1A,technique,Acrylic and ink on wall (large-scale mural),PH1A - may be site-specific installation
150012,Kith & Kin Mural Installation 2,PH1A,technique,Acrylic and ink on wall (large-scale mural),PH1A - may be site-specific installation
150013,Kith & Kin Mural Installation 3,PH1A,technique,Acrylic and ink on wall (large-scale mural),PH1A - may be site-specific installation
150014,Kith & Kin Mural Installation 4,PH1A,technique,Acrylic and ink on wall (large-scale mural),PH1A - may be site-specific installation
150015,JLL Corporate Installation,PH1A,technique,Ink on mounted paper (large-scale),PH1A - may be site-specific installation
150016,NUVA Airport Installation,PH1A,technique,Ink on mounted paper (large-scale),PH1A - may be site-specific installation
150017,Airport Restaurant Installation,PH1A,technique,Ink on mounted paper (large-scale),PH1A - may be site-specific installation
150018,Shenzhen Hotel Installation 1,PH1A,technique,Ink on mounted paper (large-scale),PH1A - may be site-specific installation
150019,Shenzhen Hotel Installation 2,PH1A,technique,Ink on mounted paper (large-scale),PH1A - may be site-specific installation
150020,Justin Tan Private Commission,PH1A,technique,Ink and gold leaf on paper,PH1A - may be site-specific installation
