ID,Title,Phase,Field,Old Value,New Value
30001,Big Bang: Breath Aureole,NE,dimensions,100cm x 200cm,100cm × 200cm
30001,Big Bang: Breath Aureole,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30002,Big Bang: Diagonal Thrust,NE,dimensions,100cm x 200cm,100cm × 200cm
30002,Big Bang: Diagonal Thrust,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30003,Big Bang: Vertical Descent,NE,dimensions,100cm x 200cm,100cm × 200cm
30003,Big Bang: Vertical Descent,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30004,Big Bang: Smoke Field,NE,dimensions,100cm x 200cm,100cm × 200cm
30004,Big Bang: Smoke Field,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30005,Big Bang: Diagonal Thrust II,NE,dimensions,100cm x 200cm,100cm × 200cm
30005,Big Bang: Diagonal Thrust II,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30005,Big Bang: Diagonal Thrust II,NE,title,Big Bang: Diagonal Thrust II,Big Bang: Diagonal Thrust Ii
30006,Big Bang: Geological Core,NE,dimensions,100cm x 200cm,100cm × 200cm
30006,Big Bang: Geological Core,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30007,Big Bang: Breath & Bone,NE,dimensions,100cm x 200cm,100cm × 200cm
30007,Big Bang: Breath & Bone,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30008,Big Bang: Geological Core II,NE,dimensions,100cm x 200cm,100cm × 200cm
30008,Big Bang: Geological Core II,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30008,Big Bang: Geological Core II,NE,title,Big Bang: Geological Core II,Big Bang: Geological Core Ii
30009,Big Bang: Cloud Mass,NE,dimensions,100cm x 200cm,100cm × 200cm
30009,Big Bang: Cloud Mass,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30010,Big Bang: Shadow Self,NE,dimensions,100cm x 200cm,100cm × 200cm
30010,Big Bang: Shadow Self,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30011,THR3E (Standing Bruise),NE,dimensions,100cm x 100cm,100cm × 100cm
30011,THR3E (Standing Bruise),NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
30011,THR3E (Standing Bruise),NE,title,THR3E (Standing Bruise),Thr3e (standing Bruise)
30012,Covenant I: Storm-Body,NE,dimensions,100cm x 200cm,100cm × 200cm
30012,Covenant I: Storm-Body,NE,technique,Sumi ink on Anhui rice paper,Sumi ink on Chinese mulberry paper
